,WSPD,GST,PRES,ATMP,WTMP,month_sin,month_cos,day_sin,day_cos,hour_sin,hour_cos,WDIR_sin,WDIR_cos
2022-07-04 23:00:00,4.83,10.1,1018.04,27.15,32.5,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,-0.25881904510252157,0.9659258262890681,0.49090375361514077,0.8712138111201895
2022-07-05 00:00:00,2.38,5.8,1018.2299999999999,28.419999999999998,32.43,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,0.0,1.0,-0.017452406437283192,-0.9998476951563913
2022-07-05 01:00:00,3.6,5.1,1018.74,29.595,32.44,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,0.25881904510252074,0.9659258262890683,-0.08715574274765832,0.9961946980917455
2022-07-05 02:00:00,3.8600000000000003,5.2,1018.9799999999999,29.889999999999997,32.480000000000004,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,0.49999999999999994,0.8660254037844387,-0.08715574274765832,0.9961946980917455
2022-07-05 03:00:00,3.41,6.0,1019.51,28.0,32.4,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,0.7071067811865476,0.7071067811865476,0.9923319378854887,0.12360147674049261
2022-07-05 04:00:00,2.88,4.8,1019.6899999999999,27.35,32.36,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,0.8660254037844386,0.5000000000000001,0.9552783621223436,0.2957080500440467
2022-07-05 05:00:00,1.85,3.2,1019.4399999999999,28.01,32.279999999999994,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,0.9659258262890683,0.25881904510252074,0.9755345439458566,0.21984620435283755
2022-07-05 06:00:00,1.64,3.2,1018.8700000000001,28.2,32.2,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,1.0,6.123233995736766e-17,0.989776230907789,0.1426289337055117
2022-07-05 07:00:00,1.6,3.3,1018.24,27.29,32.14,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,0.9659258262890683,-0.25881904510252063,0.9777832367586061,0.20961856290382183
2022-07-05 08:00:00,3.1399999999999997,5.2,1017.6600000000001,27.669999999999998,32.08,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,0.8660254037844387,-0.4999999999999998,0.9010770213220916,-0.4336590845875443
2022-07-05 09:00:00,2.68,4.8,1017.8799999999999,27.410000000000004,31.99,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,0.7071067811865476,-0.7071067811865475,0.953190667792947,-0.3023698907504444
2022-07-05 10:00:00,2.4,4.3,1018.22,27.25,31.9,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,0.49999999999999994,-0.8660254037844387,0.9854078984834902,-0.17020949916603229
2022-07-05 11:00:00,3.35,5.3,1018.54,27.339999999999996,31.82,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,0.258819045102521,-0.9659258262890682,0.8598522715968735,-0.5105429179116057
2022-07-05 12:00:00,3.0,5.5,1019.0600000000001,27.919999999999998,31.7,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,1.2246467991473532e-16,-1.0,0.9018325264051138,-0.4320857488019824
2022-07-05 13:00:00,2.44,4.3,1019.24,28.99,31.689999999999998,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,-0.2588190451025208,-0.9659258262890683,0.9310558158625283,-0.36487678433761966
2022-07-05 14:00:00,1.19,3.3,1019.3299999999999,30.290000000000003,31.7,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,-0.4999999999999997,-0.8660254037844388,0.9335804264972017,-0.35836794954530027
2022-07-05 15:00:00,2.13,3.8,1019.39,30.02,31.78,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,-0.7071067811865471,-0.7071067811865479,-0.9258705848099948,0.37784078681846683
2022-07-05 16:00:00,2.83,4.5,1019.2700000000001,29.689999999999998,31.919999999999998,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,-0.8660254037844385,-0.5000000000000004,-0.9973144772244581,0.07323819712763138
2022-07-05 17:00:00,3.29,4.8,1018.76,29.73,32.230000000000004,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,-0.9659258262890683,-0.25881904510252063,-0.9961946980917455,0.08715574274765789
2022-07-05 18:00:00,3.6100000000000003,5.0,1018.1600000000001,29.79,32.4,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,-1.0,-1.8369701987210297e-16,-0.8100416404457966,0.5863723567357885
